14:12:41  [main] 	Initializing Control Panel
14:12:41  [main] 	Windows Version:  Home  64-bit
14:12:41  [main] 	XAMPP Version: 8.0.3
14:12:41  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
14:12:41  [main] 	You are not running with administrator rights! This will work for
14:12:41  [main] 	most application stuff but whenever you do something with services
14:12:41  [main] 	there will be a security dialogue or things will break! So think 
14:12:41  [main] 	about running this application with administrator rights!
14:12:41  [main] 	XAMPP Installation Directory: "c:\xampp\"
14:12:41  [main] 	Checking for prerequisites
14:12:42  [main] 	All prerequisites found
14:12:42  [main] 	Initializing Modules
14:12:42  [mysql] 	XAMPP MySQL is already running on port 3306
14:12:42  [main] 	Starting Check-Timer
14:12:42  [main] 	Control Panel Ready
14:12:45  [Apache] 	Attempting to start Apache app...
14:12:45  [Apache] 	Status change detected: running
22:55:14  [main] 	Deinitializing Modules
22:55:14  [main] 	Deinitializing Control Panel

